layer,linear,K,N,x_chan_spread,w_chan_spread,sym_base,t1w_base,asym_base,wonly_base,sym_awq.25,t1w_awq.25,asym_awq.25,wonly_awq.25,sym_awq.5,t1w_awq.5,asym_awq.5,wonly_awq.5,sym_wflat.5,t1w_wflat.5,asym_wflat.5,wonly_wflat.5,sym_wflat1,t1w_wflat1,asym_wflat1,wonly_wflat1,sym_mix,t1w_mix,asym_mix,wonly_mix
9,self_attn.k_proj,5120,1024,41.72,1.957,22.786,15.518,24.234,22.941,22.25,13.11,23.883,22.285,19.069,10.187,21.074,19.077,22.654,16.236,23.799,22.884,21.909,16.545,22.827,22.2,23.035,14.209,24.552,23.092
9,self_attn.v_proj,5120,1024,41.72,1.096,16.198,16.4,17.256,16.404,17.498,15.673,18.786,17.56,17.05,14.359,18.523,17.067,17.407,16.355,18.555,17.499,17.832,16.156,19.1,17.874,17.863,15.417,19.19,17.89
9,self_attn.o_proj,5120,5120,16.17,1.486,17.608,16.154,18.835,17.662,17.28,15.272,18.691,17.311,15.532,13.661,17.112,15.552,17.764,16.332,18.948,17.817,17.797,16.418,18.965,17.851,17.589,15.545,18.88,17.621
9,mlp.gate_proj,5120,27648,14.09,2.135,21.154,16.004,22.467,21.195,20.247,15.184,21.855,20.26,18.153,13.52,20.202,18.158,21.235,16.281,22.444,21.314,20.905,16.423,22.054,21.048,21.002,15.778,22.408,21.029
9,mlp.up_proj,5120,27648,14.09,1.023,17.269,16.548,18.439,17.319,17.422,16.43,18.63,17.442,17.156,16.072,18.449,17.167,17.375,16.504,18.572,17.404,17.366,16.422,18.591,17.386,17.388,16.341,18.625,17.402
9,mlp.down_proj,27648,5120,18.37,1.341,17.581,16.077,18.796,17.841,17.781,15.722,19.105,17.992,16.889,14.57,18.513,17.04,17.61,16.15,18.823,17.873,17.621,16.19,18.823,17.886,17.863,15.821,19.177,18.078
10,self_attn.q_proj,5120,5120,26.86,1.632,19.24,15.949,20.572,19.37,19.136,14.502,20.757,19.171,16.998,12.096,18.948,17.005,19.384,16.231,20.616,19.519,19.321,16.371,20.538,19.459,19.527,14.947,21.056,19.566
10,self_attn.k_proj,5120,1024,26.86,1.656,21.459,15.881,22.756,21.583,21.125,14.253,22.657,21.158,18.517,11.736,20.414,18.524,21.371,16.197,22.554,21.531,21.007,16.351,22.079,21.191,21.564,14.804,23.017,21.609
10,self_attn.v_proj,5120,1024,26.86,1.178,16.416,16.081,17.625,16.552,17.058,15.309,18.496,17.1,16.341,14.064,17.893,16.353,17.209,16.098,18.48,17.282,17.471,15.98,18.763,17.515,17.33,15.215,18.732,17.354
10,self_attn.o_proj,5120,5120,22.13,1.557,18.131,16.218,19.355,18.195,18.149,15.107,19.506,18.182,16.103,12.881,17.724,16.119,18.312,16.372,19.451,18.384,18.26,16.438,19.374,18.339,18.418,15.348,19.698,18.453
10,mlp.gate_proj,5120,27648,11.66,1.605,20.213,16.14,21.467,20.25,19.692,15.415,21.186,19.706,17.991,13.698,20.018,17.997,20.232,16.279,21.468,20.282,20.121,16.333,21.347,20.188,20.068,15.811,21.421,20.087
10,mlp.up_proj,5120,27648,11.66,1.024,17.204,16.487,18.384,17.245,17.29,16.323,18.51,17.308,16.922,15.87,18.267,16.933,17.268,16.434,18.47,17.296,17.234,16.338,18.473,17.254,17.213,16.212,18.483,17.227
10,mlp.down_proj,27648,5120,16.75,1.359,17.566,15.76,18.889,17.76,17.894,15.286,19.441,18.029,16.47,13.533,18.367,16.549,17.63,15.847,18.925,17.828,17.643,15.906,18.935,17.846,17.996,15.381,19.523,18.133
11,self_attn.q_proj,5120,5120,59.84,1.707,20.292,15.64,21.641,20.465,20.803,13.413,22.461,20.846,18.361,10.534,20.254,18.368,20.314,16.096,21.559,20.496,20.04,16.292,21.22,20.227,21.22,14.021,22.793,21.27
11,self_attn.k_proj,5120,1024,59.84,1.654,22.77,15.859,23.972,22.951,23.082,13.402,24.576,23.126,19.85,10.377,21.842,19.857,22.487,16.221,23.549,22.694,21.866,16.375,22.893,22.09,23.463,14.003,24.785,23.518
