layer,linear,config,M,N,K,tier1_x_db,tier1_w_db,tier2_db
7,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,30.322,15.904,21.588
7,self_attn.q_proj,w4a8-pc,2048,5120,5120,26.839,14.404,19.96
7,self_attn.k_proj,w8a8,2048,1024,5120,26.839,39.41,34.13
7,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,30.322,40.819,37.472
7,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,30.322,15.668,23.086
7,self_attn.k_proj,w4a8-pc,2048,1024,5120,26.839,14.265,21.573
7,self_attn.v_proj,w8a8,2048,1024,5120,26.839,40.735,26.533
7,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,30.322,41.813,29.888
7,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,30.322,16.644,16.449
7,self_attn.v_proj,w4a8-pc,2048,1024,5120,26.839,15.578,15.27
7,self_attn.o_proj,w8a8,2048,5120,5120,30.247,40.151,31.641
7,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,34.723,41.551,35.701
7,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,34.723,16.373,18.075
7,self_attn.o_proj,w4a8-pc,2048,5120,5120,30.247,14.993,16.63
7,mlp.gate_proj,w8a8,2048,27648,5120,22.009,38.956,35.118
7,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,27.032,40.95,39.965
7,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,27.032,15.838,28.73
7,mlp.gate_proj,w4a8-pc,2048,27648,5120,22.009,13.918,26.52
7,mlp.up_proj,w8a8,2048,27648,5120,22.009,40.453,20.045
7,mlp.up_proj,w8a8-mg1024,2048,27648,5120,27.032,41.742,24.98
7,mlp.up_proj,w4a8-mg1024,2048,27648,5120,27.032,16.578,14.555
7,mlp.up_proj,w4a8-pc,2048,27648,5120,22.009,15.306,12.847
7,mlp.down_proj,w8a8,2048,5120,27648,16.591,38.737,16.19
7,mlp.down_proj,w8a8-mg1024,2048,5120,27648,26.902,41.268,27.213
7,mlp.down_proj,w4a8-mg1024,2048,5120,27648,26.902,16.147,16.495
7,mlp.down_proj,w4a8-pc,2048,5120,27648,16.591,13.757,12.087
8,self_attn.q_proj,w8a8,2048,5120,5120,26.528,38.77,32.825
8,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,29.908,40.359,36.074
8,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,29.908,15.195,21.657
8,self_attn.q_proj,w4a8-pc,2048,5120,5120,26.528,13.604,19.895
8,self_attn.k_proj,w8a8,2048,1024,5120,26.528,38.965,33.32
8,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,29.908,40.387,36.553
8,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,29.908,15.221,22.116
8,self_attn.k_proj,w4a8-pc,2048,1024,5120,26.528,13.798,20.706
8,self_attn.v_proj,w8a8,2048,1024,5120,26.528,40.53,25.038
8,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,29.908,41.655,28.308
8,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,29.908,16.484,14.989
8,self_attn.v_proj,w4a8-pc,2048,1024,5120,26.528,15.365,13.804
8,self_attn.o_proj,w8a8,2048,5120,5120,29.729,39.559,31.59
8,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,33.738,41.219,35.338
8,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,33.738,16.043,18.298
8,self_attn.o_proj,w4a8-pc,2048,5120,5120,29.729,14.403,16.576
8,mlp.gate_proj,w8a8,2048,27648,5120,22.111,38.192,33.972
8,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,26.712,40.546,38.428
8,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,26.712,15.372,27.336
8,mlp.gate_proj,w4a8-pc,2048,27648,5120,22.111,13.018,24.696
8,mlp.up_proj,w8a8,2048,27648,5120,22.111,40.645,17.561
8,mlp.up_proj,w8a8-mg1024,2048,27648,5120,26.712,41.784,22.09
8,mlp.up_proj,w4a8-mg1024,2048,27648,5120,26.712,16.61,12.305
8,mlp.up_proj,w4a8-pc,2048,27648,5120,22.111,15.481,10.872
8,mlp.down_proj,w8a8,2048,5120,27648,17.297,38.426,18.115
8,mlp.down_proj,w8a8-mg1024,2048,5120,27648,27.109,41.179,28.05
8,mlp.down_proj,w4a8-mg1024,2048,5120,27648,27.109,16.039,16.749
8,mlp.down_proj,w4a8-pc,2048,5120,27648,17.297,13.449,12.695
9,self_attn.q_proj,w8a8,2048,5120,5120,25.439,39.495,30.254
9,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,29.429,41.009,34.112
9,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,29.429,15.842,20.709
9,self_attn.q_proj,w4a8-pc,2048,5120,5120,25.439,14.327,19.039
9,self_attn.k_proj,w8a8,2048,1024,5120,25.439,39.166,32.912
9,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,29.429,40.686,36.766
9,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,29.429,15.518,22.915
9,self_attn.k_proj,w4a8-pc,2048,1024,5120,25.439,14.004,21.451
9,self_attn.v_proj,w8a8,2048,1024,5120,25.439,40.394,24.731
